draw_date,results,jackpot,outcome
"Wednesday, December 30 1992",1 11 18 30 41 12,"$3,400,000",Roll
"Saturday, December 26 1992",6 12 17 18 42 17,"$2,000,000",Roll
"Wednesday, December 23 1992",7 12 21 25 31 11,"$10,443,874",Won
"Saturday, December 19 1992",11 16 32 37 39 27,"$8,400,000",Roll
"Wednesday, December 16 1992",4 7 11 25 40 24,"$6,400,000",Roll
"Saturday, December 12 1992",9 28 40 42 44 12,"$5,000,000",Roll
"Wednesday, December 9 1992",6 17 22 27 34 22,"$3,400,000",Roll
"Saturday, December 5 1992",9 17 19 40 41 31,"$2,000,000",Roll
"Wednesday, December 2 1992",1 4 26 35 42 28,"$9,070,980",Won
"Saturday, November 28 1992",11 15 35 39 40 23,"$7,000,000",Roll
"Wednesday, November 25 1992",10 12 14 20 26 35,"$5,400,000",Roll
"Saturday, November 21 1992",2 28 36 44 45 17,"$3,800,000",Roll
"Wednesday, November 18 1992",15 27 31 35 45 7,"$2,000,000",Roll
"Saturday, November 14 1992",16 21 24 36 43 19,"$22,189,839",Won
"Wednesday, November 11 1992",4 31 34 38 44 39,"$17,900,000",Roll
"Saturday, November 7 1992",2 3 22 39 42 21,"$14,900,000",Roll
"Wednesday, November 4 1992",6 8 9 22 30 36,"$11,900,000",Roll
"Saturday, October 31 1992",9 15 17 26 43 22,"$9,600,000",Roll
"Wednesday, October 28 1992",1 4 10 18 36 28,"$7,200,000",Roll
"Saturday, October 24 1992",3 16 24 31 35 16,"$5,500,000",Roll
"Wednesday, October 21 1992",6 23 26 28 29 36,"$3,500,000",Roll
"Saturday, October 17 1992",5 13 22 28 29 12,"$2,000,000",Roll
"Wednesday, October 14 1992",18 20 23 34 40 2,"$38,460,327",Won
"Saturday, October 10 1992",3 8 23 26 35 34,"$29,500,000",Roll
"Wednesday, October 7 1992",9 10 20 31 34 10,"$22,500,000",Roll
"Saturday, October 3 1992",18 36 39 40 43 5,"$18,000,000",Roll
"Wednesday, September 30 1992",2 9 22 23 24 6,"$14,300,000",Roll
"Saturday, September 26 1992",17 24 40 44 45 14,"$11,600,000",Roll
"Wednesday, September 23 1992",12 18 20 26 40 11,"$9,300,000",Roll
"Saturday, September 19 1992",17 19 21 29 36 45,"$7,500,000",Roll
"Wednesday, September 16 1992",9 13 25 33 34 20,"$6,000,000",Roll
"Saturday, September 12 1992",10 20 22 26 34 35,"$4,800,000",Roll
"Wednesday, September 9 1992",12 17 27 33 37 37,"$3,200,000",Roll
"Saturday, September 5 1992",3 4 23 24 34 6,"$2,000,000",Roll
"Wednesday, September 2 1992",3 9 16 24 34 5,"$10,763,061",Won
"Saturday, August 29 1992",14 17 30 32 41 27,"$9,300,000",Roll
"Wednesday, August 26 1992",6 7 25 33 36 1,"$7,500,000",Roll
"Saturday, August 22 1992",4 36 40 43 44 43,"$6,200,000",Roll
"Wednesday, August 19 1992",2 5 9 11 17 41,"$4,800,000",Roll
"Saturday, August 15 1992",7 16 17 42 45 12,"$3,500,000",Roll
